1984,91600
1985,340213
1986,681825
1987,1230855
1988,2069441
1989,3508944
1990,5283055
1991,7557148
1992,11032753
1993,16009461
1994,24134421
1995,33785661
1996,44042992
1997,55312293
1998,69209321
1999,86047003
2000,109000000
2001,129000000
2002,142000000
2003,161000000
2004,185000000
2005,204000000
2006,230000000
2007,249000000
2008,261000000
2009,274000000
2010,285000000
2011,297000000
2012,305000000
2013,311000000
2014,323000000
2015,332000000
