"lat","lon","objectid","base","perimeter","area"
44.8175673815,-68.8298013821,2777,"Bangor IAP",4.81304066,0.42377862
35.8114939421,-84.0036709533,2839,"McGhee Tyson Airport",4.81290706,0.56671413
42.9410456217,-87.8879842837,2843,"Gen Mitchell IAP",1.59741204,0.10270726
42.3152607726,-85.2517650226,2899,"W K Kellogg",3.00675032,0.21872001
41.365115238,-72.2719883265,3132,"NG Stones Ranch Military Res",14.0614345,2.91240409
29.9610820259,-90.0054600369,3146,"NG Jackson Bks",4.08727224,0.18652636
39.5789596414,-85.8110236465,3899,"NG Shelbyville",1.17582278,0.07214745
41.1971787101,-81.0848343174,4082,"NG Camp Ravenna Joint Military Training Center",27.98837304,33.88266775
43.9969533709,-92.431667564,4545,"NG Rochester NGA and OMS 2",0.57179585,0.01782066
43.2374990056,-78.9726913885,4730,"NG Youngstown Tng Site",4.61779927,1.34071889
44.5098902146,-73.1635564756,5010,"NG Ethan Allen AFB MTA",4.73495996,1.02652087
44.0801387023,-103.266957925,5356,"NG Camp Rapid",1.45033491,0.12937848
22.0390260692,-159.754233043,5366,"Kamokala Ridge",1.75419217,0.13891071
21.3365657616,-157.947911019,5411,"JBPHH Pearl Harbor HI",26.44019343,5.53076205
24.564687961,-81.7912167283,5527,"Trumbo Point Annex",4.09484789,0.20399029
33.9949571838,-119.633496836,5685,"Santa Cruz Island",0.84067605,0.01240696
37.7301830972,-121.896604083,49,"Parks Reserve Forces Tng Area",12.10233686,3.74509133
31.1507181645,-85.7365895283,70,"Highbluff Stagefield AL",1.61826363,0.14827059
21.6554725925,-157.991699974,147,"Kahuku Tng Area",24.10885693,14.21697719
19.4339227624,-155.274146853,178,"Kilauea Mil Reserve",1.15740786,0.0773326
43.122804331,-87.9772820103,414,"W Silver Spring Complex",2.09568162,0.19706563
40.2081935416,-76.8392842405,576,"Defense Distrib Depot Susq",6.28513057,1.3104137
39.4393426467,-77.4329802888,638,"Fort Detrick",9.3707605,1.90590655
42.4983892077,-71.6564168902,644,"Devens Reserve Forces Tng Area",18.7805218,7.94792546
32.8768862606,-117.085904098,1141,"MCAS Miramar",44.19571243,35.28132876
41.537007483,-71.3449081892,1370,"Gould Island RI",0.84140173,0.01563502
30.4703563325,-87.341464807,1448,"Saufley Field",6.89690133,1.33100134
32.4228638826,-99.8391523672,1817,"Dyess AFB",14.97703127,8.38591111
36.337985538,-97.9145208117,2587,"Vance AFB",12.95639316,5.32526778
42.3949424324,-96.3728939608,2880,"Sioux Gateway Airport (ANG)",1.85965053,0.11980777
40.6623266748,-89.7047451161,2910,"General Wayne A Downing Peoria IAP",3.62388193,0.5651211
41.6154323015,-71.4990309697,3080,"NG Camp Fogarty Tng Site",4.12075797,0.58829444
30.1763045639,-97.6720949612,3166,"NG Bergstrom - (Abia)",1.17456478,0.0937977
44.2000240894,-121.116641902,3183,"NG Biak Training Center COUTES",52.04252063,44.69652295
36.0990427201,-86.7588114945,3346,"NG Nashville",1.74417681,0.10290826
33.4680085999,-111.961734255,3580,"NG Papago Military Reservation",4.50199573,0.6099293
39.7443784632,-86.2281648634,3862,"NG Indianapolis 38 ID",1.0507801,0.07313912
39.4053782409,-79.6650809272,4971,"NG CTC Camp Dawson-Kingwood",42.37537949,12.50940937
31.0485248017,-87.0645146284,5549,"NOLF Brewton",5.11835413,1.02628265
32.6713189664,-117.167654101,5596,"Amphib Base Coronado West",1.59537089,0.11352591
32.7262714976,-117.145036279,5648,"Balboa Hospital",1.59046014,0.11864602
33.7504659919,-118.064188826,5734,"NAVWPNSTA Seal Beach",16.0394274,7.48513923
33.9237676683,-117.569462918,5740,"Norco",3.6019808,0.38092326
35.5147864004,-117.141406945,5747,"Randsburg Wash Area",149.04755414,826.15256661
43.1269235478,-75.5912449791,5828,"Verona Defense Fuel Support Point",0.56138468,0.02040583
41.1707420451,-104.860338183,5911,"F E Warren AFB",18.97551999,9.64543887
71.3217290437,-156.647955307,6054,"NARL Barrow Camp Tr1",8.170828,0.98578627
42.3887282099,-96.3753394484,6158,"Sioux Gateway Airport (ANG)",0.74377452,0.0238947
38.0893373204,-92.6050226881,50,"Lake Of The Ozarks Recreation",3.84473544,0.50059651
21.3459798367,-157.883423329,169,"Fort Shafter",7.01601646,0.92213281
34.8948517394,-76.3494185567,1113,"OLF Atlantic",8.00600134,2.29638632
33.3617631238,-117.423573571,1144,"MCB Camp Pendleton",75.13581087,196.77328222
48.2942162716,-122.600904083,1514,"Sea Plane Base",16.67040945,4.91809346
36.7367977571,-98.1206530872,2588,"Kegelman Air Force Auxiliary Field",7.88828531,1.9189984
40.4853906277,-80.2128717533,2856,"Pittsburgh IAP (ANG)",4.00452124,0.45177954
38.698673015,-97.8316970673,2887,"Smoky Hill ANG Range",38.01773609,53.03493845
29.5647013744,-97.9056493003,2951,"Seguin Auxiliary Field",9.50407424,1.49755612
43.2274955645,-116.138977329,3172,"NG Orchard Combat Training Center",72.12018494,224.04205621
35.8091728617,-78.7120731248,3839,"NG Raleigh",2.02012792,0.12619144
38.5515266427,-92.0684326746,4234,"NG TS Ike Skelton Jefferson City",3.87773452,0.73617051
40.9618173985,-98.2987920709,4570,"NG Grand Island AASF/RC",1.04771756,0.07795223
40.2697852903,-74.7446975393,4651,"NG Lawrenceville",1.61750645,0.12211461
32.5969675488,-117.128170944,5361,"Silver Strand South",4.25677531,0.85815758
21.5204386438,-158.005639333,5424,"Wahiawa",7.11309558,1.07307736
32.6677774858,-117.240517357,5642,"SPAWARS South",1.42592048,0.07760893
43.2214961419,-75.4097019981,5831,"Rome Laboratory",3.49336003,0.13098396
39.3897332632,-76.2184808653,6225,"Aberdeen Proving Ground",56.0093554,112.76258708
35.9554065709,-121.253769516,27,"Fort Hunter Liggett",112.28528006,252.81147345
39.1866803598,-96.8208663239,61,"Fort Riley",76.12423409,158.94663865
31.359582043,-86.0139459687,77,"Stinson 5AB Stagefield AL",2.09866788,0.27093983
